".InternetGatewayDevice.","IGD",,,"object","-","R","V",,"The top-level object for an Internet Gateway Device."
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessGroup.{i}.IP.IP.{i}.IpId",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessGroup.{i}.IP.IP.{i}.Description",,,,"string","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessGroup.{i}.IP.IP.{i}.Prefix",,,,"ipv4","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessGroup.{i}.IP.IP.{i}.PrefixLen",,,,"unsignedInt [0:32]","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessRuleNumberOfEntries",,"count(AccessRule)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessRule.","ACR",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessRule.{i}.",,,,"object[:8192]",,,"   M",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessRule.{i}.ACRId",,,,"string(32)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessRule.{i}.From",,,,"string(32)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessRule.{i}.To",,,,"string(32)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.AccessClasses.AccessRule.{i}.Policy","ACGPol",,,"enum(Accept,Deny)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.","Clnts",,,"object",,,"S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.ClientNumberOfEntries",,"count(Client)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.","Clnt",,,"object",,,"S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.",,0,1,"object",,,"S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.X_DM_ClientInfo",,,,"pointer","O","O","i",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.X_DM_OutstandingRadiusAuthenticationRequest",,,,"pointer","O","O","i",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.IPAddress",,,,"ipv4","O","O","Su",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.NATIPAddress",,,,"ipv4","O","O","Si",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.NATPortStart",,,,"unsignedInt[0:65535]","O","O","Si",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.NATPortEnd",,,,"unsignedInt[0:65535]","O","O","Si",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.MACAddress",,,,"string","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.IPAddressSource",,,,"enum(None,DHCP,Static,AutoIP,Gateway,Radius,SOL)","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.MACAddressSource",,,,"enum(None,DHCP,Static,AutoIP,Gateway,Radius,SOL)","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.ValidTill",,,,"absticks","O","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.ClientToken",,,,"string[32]","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.SessionId",,,,"string","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.AcctSessionId",,,,"string","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.RelatedSessionId",,,,"string","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.Username",,,,"string","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.Password",,,,"string","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.ChargeableUserIdentity",,,,"string","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.AuthenticationProvider",,,,"enum(None,Admin,Radius,Backend)","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.AuthorizationProvider",,,,"enum(None,Admin,Radius,Backend)","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.UserAgent",,,,"string","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.AgentCircuitId",,,,"binary(255)","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.AgentRemoteId",,,,"binary(255)","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.CalledStationId",,,,"binary(255)","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.Host",,,,"selector","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LocationId",,,,"string(32)","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.InterimUpdateInterval",,,,"relticks","O","O","S","clnt_timer_rearm",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.SessionTimeout",,,,"relticks","O","O","S","clnt_timer_rearm",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.IdleTimeout",,,,"relticks","O","O","S","clnt_timer_rearm",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.KeepAliveTimeout",,,,"unsignedInt","O","O","S","clnt_timer_rearm",
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.ExitAccessClass",,,,"selector","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.ExitRequestAccessClass",,,,"selector","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.IdleTimeoutRequestAccessClass",,,,"selector","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.SessionTimeAccounting",,,,"enum(WISPrCompliant,StartStop)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.MaxInputOctets",,,,"unsignedInt64","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.MaxOutputOctets",,,,"unsignedInt64","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.MaxTotalOctets",,,,"unsignedInt64","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.RedirectUrl",,,,"string","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.X_TPOSS_ReplyCode",,,,"unsignedInt","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.AccessClass",,0,1,"selector","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.AccessGroupId",,,,"string(32)","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.NATPool",,,,"selector","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.MonitorId",,,,"unsignedInt","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.MonitorTarget",,0,1,"selector","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.BandwidthMinUp",,,,"unsignedInt","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.BandwidthMaxUp",,,,"unsignedInt","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.BandwidthMinDown",,,,"unsignedInt","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.BandwidthMaxDown",,,,"unsignedInt","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.StartTime",,,,"absticks","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.FirstSeen",,,,"absticks","O","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LastSeen",,,,"absticks","O","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LastAccountingUpdate",,,,"absticks","O","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.SessionTime",,1,0,"relticks","O","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.TerminationAction",,,,"enum(Default,RADIUS-Request)","O","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.RadiusState",,,,"binary(255)","O","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LastCounterUpdate",,,,"absticks","O","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.IdleTime",,1,0,"relticks","O","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.InPackets",,,,"unsignedInt","O","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.OutPackets",,,,"unsignedInt","O","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.InOctets",,,,"unsignedInt64","O","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.OutOctets",,,,"unsignedInt64","O","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.AliveCounter",,,,"unsignedInt","O","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.AuthenticationRequestState",,,,"enum(None,Pending,Completed,Error)","O","-","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LastAuthenticationResult",,,,"enum(None,Accepted,Denied,Error)","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LastAuthorizationResult",,,,"enum(None,Accepted,Denied,Error)","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.RequestedNATPoolId",,,,"string","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.RequestedNATIPAddress",,,,"ipv4","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.RadiusClassNumberOfEntries",,"count(RadiusClass)",,"unsignedInt","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.RadiusClass.","RClass",,,"object",,,"S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.RadiusClass.{i}.",,,,"object",,,"S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.RadiusClass.{i}.Class",,,,"string","O","O","S N",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.AccessRuleNumberOfEntries",,"count(AccessRule)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.AccessRule.","ACR",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.AccessRule.{i}.",,,,"object[:8192]",,,"   M",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.AccessRule.{i}.From",,,,"string(32)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.AccessRule.{i}.To",,,,"string(32)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.AccessRule.{i}.Policy","ACRPol",,,"enum(Accept,Deny)","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.ReplyMessageNumberOfEntries",,"count(ReplyMessage)",,"unsignedInt","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.ReplyMessage.","RplM",,,"object",,,"S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.ReplyMessage.{i}.",,,,"object",,,"S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.ReplyMessage.{i}.Message",,,,"string","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LastSession.","LS",,,"object","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LastSession.StartTime",,,,"absticks","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LastSession.Username",,,,"string","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LastSession.AcctSessionId",,,,"string","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LastSession.AccessClass",,,,"selector","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LastSession.SessionTime",,,,"relticks","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LastSession.InPackets",,,,"unsignedInt","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LastSession.OutPackets",,,,"unsignedInt","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LastSession.InOctets",,,,"unsignedInt64","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LastSession.OutOctets",,,,"unsignedInt64","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Zone.{i}.Clients.Client.{i}.LastSession.TerminateCause",,,,"enum(User-Request,Lost-Carrier,Lost-Service,Idle-Timeout,Session-Timeout,Admin-Reset,Admin-Reboot,Port-Error,NAS-Error,NAS-Request,NAS-Reboot,Port-Unneeded,Port-Preempted,Port-Suspended,Service-Unavailable,Callback,User-Error,Host-Request)","O","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Flow.","Flow",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Flow.Distribution.","Dist",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Flow.Distribution.BindIPAddress",,,,"ipv4","R","R",,,
"InternetGatewayDevice.X_TPLINO_NET_SessionControl.Flow.Distribution.Cookie",,,,"string(64)","R","R",,,
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.","LNG",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.Enabled",,,,"boolean","R","R",,"l2tp_relay",
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.ConnectionStatus",,,,"enum(Unconfigured,Connecting,Authenticating,Connected,PendingDisconnect,Disconnecting,Disconnected)","-","R","S",,
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.LANDevice",,,,"selector","R","R",,"l2tp_relay",
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.TunnelHostName",,,,"string(64)","R","R",,"l2tp_reconf",
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.Username",,,,"string(64)","R","R",,"l2tp_reconf",
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.Password",,,,"string(64)","R","-",,"l2tp_reconf",
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.PPPAuthenticationProtocol",,,,"enum(PAP,CHAP,MS-CHAP,MS-CHAP-V2)","R","R",,"l2tp_reconf",
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.MTU",,,,"unsignedInt [1:1460]","R","R",,"l2tp_reconf",
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.LocalIPAddress",,,,"ipv4","-","R","S",,
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.RemoteIPAddress",,,,"ipv4","-","O","S",,
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.TunnelRetryInterval",,,,"unsignedInt[10:]","R","R",,"l2tp_reconf",
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.SessionRetryInterval",,,,"unsignedInt[10:]","R","R",,"l2tp_reconf",
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.KeepaliveTimeout",,,,"unsignedInt","R","R",,"l2tp_reconf",
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.TunnelNumberOfEntries",,"count(Tunnel)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.Tunnel.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.Tunnel.{i}.",,,,"object",,,,"l2tp_reconf",
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.Tunnel.{i}.Enabled",,,,"boolean","R","R",,"l2tp_reconf",
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.Tunnel.{i}.LNSIPAddress",,,,"ipv4","R","R",,"l2tp_reconf",
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.Tunnel.{i}.TxLinkSpeed",,,,"unsignedInt[0:4194303]","R","R",,"l2tp_reconf",
"InternetGatewayDevice.X_TPLINO_NET_NetworkGateway.Tunnel.{i}.RxLinkSpeed",,,,"unsignedInt[0:4194303]","R","R",,"l2tp_reconf",
"InternetGatewayDevice.X_TPLINO_NET_HTTPServers.","HTTPSrvs",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_HTTPServers.SSL_Certificate",,,1,"Base64","R","R","S N","httpd_restart",
"InternetGatewayDevice.X_TPLINO_NET_HTTPServers.SSL_Key",,,1,"Base64","R","R","S N","httpd_restart",
"InternetGatewayDevice.X_TPLINO_NET_HTTPServers.SSL_CA_Certificate",,,1,"binary","R","R","S N","httpd_restart",
"InternetGatewayDevice.X_TPLINO_NET_HTTPServers.HTTPServerNumberOfEntries",,"count(HTTPServer)",,"unsignedInt","O","O",,"httpd_restart",
"InternetGatewayDevice.X_TPLINO_NET_HTTPServers.HTTPServer.","HTTPSrv",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_HTTPServers.HTTPServer.{i}.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_HTTPServers.HTTPServer.{i}.Enabled",,,,"boolean","O","O",,"httpd_restart",
"InternetGatewayDevice.X_TPLINO_NET_HTTPServers.HTTPServer.{i}.HTTPServerId",,,,"string(32)","O","O",,"httpd_restart",
"InternetGatewayDevice.X_TPLINO_NET_HTTPServers.HTTPServer.{i}.HTTPsEnabled",,,,"boolean","O","O",,"httpd_restart",
"InternetGatewayDevice.X_TPLINO_NET_HTTPServers.HTTPServer.{i}.Port",,,,"unsignedInt [0:65535]","O","O",,"httpd_restart",
"InternetGatewayDevice.X_TPLINO_NET_HTTPServers.HTTPServer.{i}.AssociatedDeviceNumberOfEntries",,"count(AssociatedDevice)",,"unsignedInt","O","O",,"httpd_restart",
"InternetGatewayDevice.X_TPLINO_NET_HTTPServers.HTTPServer.{i}.AssociatedDevice.","AssocDvc",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_HTTPServers.HTTPServer.{i}.AssociatedDevice.{i}.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_HTTPServers.HTTPServer.{i}.AssociatedDevice.{i}.DeviceReference",,,,"selector","O","O",,"httpd_restart",
"InternetGatewayDevice.X_TPLINO_NET_APIs.","APIs",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.TSCF.","TSCF",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.TSCF.Enabled",,,,"boolean","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.TSCF.AssociatedHTTPServerNumberOfEntries",,"count(AssociatedHTTPServer)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.TSCF.AssociatedHTTPServer.","AssocSrv",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.TSCF.AssociatedHTTPServer.{i}.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.TSCF.AssociatedHTTPServer.{i}.HTTPServer",,,,"selector","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.TSCF.AssociatedHTTPServer.{i}.Functions.","Fncts",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.TSCF.AssociatedHTTPServer.{i}.Functions.SetAccessClassEnabled",,,,"boolean","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.TSCF.AssociatedHTTPServer.{i}.Functions.RequestAccessClassEnabled",,,,"boolean","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.TSCF.AssociatedHTTPServer.{i}.Functions.GetStatusEnabled",,,,"boolean","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.TSCF.AssociatedHTTPServer.{i}.Functions.SetPropertiesEnabled",,,,"boolean","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.CSCF.","CSCF",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.CSCF.Enabled",,,,"boolean","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.CSCF.AssociatedHTTPServerNumberOfEntries",,"count(AssociatedHTTPServer)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.CSCF.AssociatedHTTPServer.","AssocSrv",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.CSCF.AssociatedHTTPServer.{i}.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.CSCF.AssociatedHTTPServer.{i}.HTTPServer",,,,"selector","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.HTTP.","HTTP",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.HTTP.Enabled",,,,"boolean","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.HTTP.AssociatedHTTPServerNumberOfEntries",,"count(AssociatedHTTPServer)",,"unsignedInt","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.HTTP.AssociatedHTTPServer.","AssocSrv",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.HTTP.AssociatedHTTPServer.{i}.",,,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.HTTP.AssociatedHTTPServer.{i}.HTTPServer",,,,"selector","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.WISPr","WISPr",,,"object",,,,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.WISPr.Enabled",,,,"boolean","O","O",,,
"InternetGatewayDevice.X_TPLINO_NET_APIs.WISPr.AssociatedHTTPServerNumberOfEntries",,"count(AssociatedHTTPServer)",,"unsignedInt","O","O",,,
